cod_icao;nombre_aerolinea;identificacion;pais_aerolinea;cod_pais
GFY;Greenfly                                                                                            ;I999                                              ;Spain                                             ;ESP       
ANU;Andalus Lineas Aereas                                                                               ;Andalus                                           ;Spain                                             ;ESP       
GDR;Gadair European Airlines                                                                            ;GADAIR                                            ;Spain                                             ;ESP       
MIC;Mint Airways                                                                                        ;I999                                              ;Spain                                             ;ESP       
LAV;AlbaStar                                                                                            ;I999                                              ;Spain                                             ;ESP       
VOO;Volotea                                                                                             ;Volotea                                           ;Spain                                             ;ESP       
HTH;Helitt L�neas A�reas                                                                                ;I999                                              ;Spain                                             ;ESP       
IBS;Iberia Express                                                                                      ;I999                                              ;Spain                                             ;ESP       
STS;Starling Airlines Spain                                                                             ;STARLING                                          ;Spain                                             ;ESP       
BXS;Spantax S.A.                                                                                        ;I999                                              ;Spain                                             ;ESP       
CNF;Canaryfly                                                                                           ;I999                                              ;Spain                                             ;ESP       
N77;All Spain                                                                                           ;I999                                              ;Spain                                             ;ESP       
RWW;Fly Europa                                                                                          ;I999                                              ;Spain                                             ;ESP       
